DATE,PRICE,TOTAL_VOLUME
2024-04-02 00:00:00.000,6.350355572,1131543.60252452
2024-04-01 00:00:00.000,6.898850911,1224790.13962918
2024-03-31 00:00:00.000,7.147935645,906951.864327813
2024-03-30 00:00:00.000,7.112547292,754780.931863565
2024-03-29 00:00:00.000,7.04546571,1769746.14619437
2024-03-28 00:00:00.000,7.274830323,1795533.32519296
2024-03-27 00:00:00.000,7.504213836,2912688.51088597
2024-03-26 00:00:00.000,7.773876839,1859959.01876864
2024-03-25 00:00:00.000,7.335591331,1706444.4888915
2024-03-24 00:00:00.000,6.59670224,1273145.42313075
2024-03-23 00:00:00.000,6.635742081,866003.877738705
2024-03-22 00:00:00.000,6.473867208,1973621.38054293
2024-03-21 00:00:00.000,6.67211646,1813936.2910807
2024-03-20 00:00:00.000,6.456376655,2476074.66660616
2024-03-19 00:00:00.000,6.749216567,3587878.29643358
2024-03-18 00:00:00.000,7.652838597,3702480.15266584
2024-03-17 00:00:00.000,7.512765767,2604484.23691521
2024-03-16 00:00:00.000,7.31273807,3044404.06044317
2024-03-15 00:00:00.000,7.811926894,4479675.06106525
2024-03-14 00:00:00.000,7.954967373,3330581.92518972
2024-03-13 00:00:00.000,7.978151093,3054618.98932736
2024-03-12 00:00:00.000,7.164215933,2245401.57766516
2024-03-11 00:00:00.000,6.7017788,2744990.7673564
2024-03-10 00:00:00.000,6.031729068,1358596.25150038
2024-03-09 00:00:00.000,6.026861405,1777598.12420673
2024-03-08 00:00:00.000,5.435822829,1400957.10190181
2024-03-07 00:00:00.000,5.641472265,1998122.53074752
2024-03-06 00:00:00.000,4.602693406,1542222.92958572
2024-03-05 00:00:00.000,4.293528353,1232569.82690037
2024-03-04 00:00:00.000,4.469404009,719786.705881983
2024-03-03 00:00:00.000,4.314804147,687953.381940308
2024-03-02 00:00:00.000,4.12199341,384668.406531583
2024-03-01 00:00:00.000,3.964995947,359980.292564763
2024-02-29 00:00:00.000,3.947955682,424959.063210713
2024-02-28 00:00:00.000,3.921569353,639901.858129553
2024-02-27 00:00:00.000,4.001698763,445465.017891749
2024-02-26 00:00:00.000,3.874483721,481940.599986067
2024-02-25 00:00:00.000,3.747005314,291819.288837817
2024-02-24 00:00:00.000,3.536639176,381406.451274702
2024-02-23 00:00:00.000,3.265116987,260411.596527806
2024-02-22 00:00:00.000,3.235275015,295104.468857705
2024-02-21 00:00:00.000,3.230492722,276453.38900183
2024-02-20 00:00:00.000,3.424374692,375369.688391092
2024-02-19 00:00:00.000,3.545635052,361549.966688663
2024-02-18 00:00:00.000,3.416781031,337700.600751537
2024-02-17 00:00:00.000,3.25311178,231823.710405886
2024-02-16 00:00:00.000,3.327094885,424939.609998881
2024-02-15 00:00:00.000,3.337334695,411927.097132562
2024-02-14 00:00:00.000,3.312117769,325785.527959564
2024-02-13 00:00:00.000,3.296027426,302460.061787258
2024-02-12 00:00:00.000,3.20388046,291704.434841831
2024-02-11 00:00:00.000,3.134893762,275224.952481272
2024-02-10 00:00:00.000,3.038229037,198592.596076594
2024-02-09 00:00:00.000,2.976827783,240881.084232774
2024-02-08 00:00:00.000,2.930531083,193463.380378287
2024-02-07 00:00:00.000,2.753578731,199950.470681463
2024-02-06 00:00:00.000,2.734374728,158651.190973201
2024-02-05 00:00:00.000,2.760804826,175753.066145827
2024-02-04 00:00:00.000,2.78821384,153357.839752353
2024-02-03 00:00:00.000,2.854039867,120142.885492783
2024-02-02 00:00:00.000,2.874978009,215430.475491214
2024-02-01 00:00:00.000,2.801529314,150413.628428688
2024-01-31 00:00:00.000,2.919433913,280847.185498203
2024-01-30 00:00:00.000,3.05532905,300703.596043078
